slice_id,dice,accuracy
Case_008_131,NaN,0.9964787364006042
Case_008_65,0.9674,0.9964345693588257
Case_008_84,0.9824,0.9964651465415955
Case_008_73,0.9662,0.9964317083358765
Case_008_14,NaN,0.9964845180511475
Case_008_138,NaN,0.9965021014213562
Case_008_27,NaN,0.9965379238128662
Case_008_1,NaN,0.9965900182723999
Case_008_88,0.9873,0.9966281652450562
Case_008_19,NaN,0.9966557621955872
Case_008_86,0.9824,0.9966820478439331
Case_008_31,0.7539,0.9966768622398376
Case_008_26,NaN,0.9966952204704285
Case_008_66,0.9718,0.9966678023338318
Case_008_3,NaN,0.9967139959335327
Case_008_40,0.9318,0.996658980846405
Case_008_139,NaN,0.9966335892677307
Case_008_48,0.9721,0.9966005086898804
Case_008_32,0.8193,0.9965962171554565
Case_008_141,NaN,0.9964179396629333
Case_008_64,0.9609,0.996368944644928
Case_008_52,0.9582,0.9963075518608093
Case_008_130,NaN,0.996356189250946
Case_008_79,0.9672,0.9963452219963074
Case_008_53,0.9587,0.9962891936302185
Case_008_127,NaN,0.9963318109512329
Case_008_10,NaN,0.9963749051094055
Case_008_81,0.9741,0.9963802695274353
Case_008_85,0.9835,0.9964043498039246
Case_008_70,0.9689,0.9963829517364502
Case_008_124,NaN,0.996418833732605
Case_008_146,NaN,0.9962180852890015
Case_008_135,NaN,0.9962528944015503
Case_008_47,0.9673,0.9962191581726074
Case_008_109,NaN,0.9962602257728577
Case_008_55,0.963,0.9962236881256104
Case_008_57,0.9614,0.9961843490600586
Case_008_28,0.3605,0.9962002038955688
Case_008_8,NaN,0.996211588382721
Case_008_46,0.9616,0.9961708784103394
Case_008_4,NaN,0.9962065815925598
Case_008_80,0.9704,0.9962059259414673
Case_008_120,NaN,0.996242344379425
Case_008_15,NaN,0.9962711930274963
Case_008_95,0.9844,0.9963048696517944
Case_008_33,0.827,0.9962931275367737
Case_008_136,NaN,0.9962555170059204
Case_008_104,NaN,0.9962695837020874
Case_008_43,0.9484,0.9962311387062073
Case_008_71,0.9674,0.9962143301963806
Case_008_17,NaN,0.9962371587753296
Case_008_134,NaN,0.9962665438652039
Case_008_22,NaN,0.9962948560714722
Case_008_20,NaN,0.9963259100914001
Case_008_45,0.9569,0.9962878823280334
Case_008_7,NaN,0.9963136911392212
Case_008_91,0.9808,0.9963365197181702
Case_008_13,NaN,0.9963657855987549
Case_008_23,NaN,0.9963900446891785
Case_008_67,0.9701,0.9963738322257996
Case_008_24,NaN,0.9963976144790649
Case_008_61,0.9662,0.996372640132904
Case_008_106,NaN,0.9964038729667664
Case_008_125,NaN,0.996431291103363
Case_008_68,0.9715,0.9964180588722229
Case_008_126,NaN,0.9964447617530823
Case_008_142,NaN,0.9961913824081421
Case_008_133,NaN,0.9962161779403687
Case_008_44,0.9523,0.9961826205253601
Case_008_58,0.9611,0.9961532950401306
Case_008_137,NaN,0.9961342215538025
Case_008_60,0.9579,0.9961003661155701
Case_008_39,0.9255,0.9960771799087524
Case_008_12,NaN,0.9961017966270447
Case_008_145,NaN,0.995958685874939
Case_008_42,0.9405,0.9959286451339722
Case_008_90,0.9829,0.9959509968757629
Case_008_101,NaN,0.9959798455238342
Case_008_30,0.7087,0.9959864616394043
Case_008_74,0.9685,0.9959792494773865
Case_008_92,0.9768,0.9960001707077026
Case_008_5,NaN,0.9960209727287292
Case_008_144,NaN,0.9958953857421875
Case_008_116,NaN,0.9959137439727783
Case_008_56,0.9664,0.9958971738815308
Case_008_83,0.9819,0.9959121942520142
Case_008_114,NaN,0.9959302544593811
Case_008_119,NaN,0.9959484934806824
Case_008_140,NaN,0.9959315061569214
Case_008_82,0.9799,0.9959436058998108
Case_008_62,0.9646,0.99592524766922
Case_008_87,0.9878,0.9959458708763123
Case_008_0,NaN,0.9959707260131836
Case_008_93,0.9811,0.9959923624992371
Case_008_35,0.8595,0.9959750771522522
